,ego_brake,ego_dist,ego_throttle,ego_vel,other_amount,other_dist,other_vel,shield_takeover
0,0.0,"[39.49944753 40.02968805 40.49258172 41.02024567 45.62347044 45.19854883
 45.06090634 43.53215938]",0.699999988079071,2.6224112727089385e-07,8.0,"[8.57644717 8.64922293 8.71979597 8.79765392 9.27241376 8.84883363
 9.38555246 9.0868485 ]","[0.0017605230369053396, 0.003917220920594695, 0.0019628663310917983, 0.0054905049060143376, 0.003527810817494834, 0.004898412494272622, 0.0013810679073095566, 0.10747956047871422]",
1,0.0,"[39.55829756 40.27032252 41.00214683 41.73671709 45.75149656 45.24720287
 45.06003099 43.5904825 ]",0.699999988079071,1.6875996971438582e-07,8.0,"[8.48285592 8.53555341 8.57303538 8.59297675 8.61244743 8.07448879
 8.78879225 8.23143543]","[0.30350211841402247, 0.45733844880344354, 0.6629748223134841, 0.8955320120709005, 0.9167409956758675, 1.0085088692294841, 0.8244682668387642, 1.1720093134088714]",
2,0.0,"[40.21899776 40.99944167 41.75190521 42.55632219 45.87229447 45.27480055
 45.11518525 43.60577711]",0.699999988079071,1.108969672898796e-08,8.0,"[8.35532889 8.33752349 8.35954032 8.62581702 7.71947527 7.25237538
 7.96109634 7.38140484]","[1.0599064307030612, 1.1924355386281582, 1.3109159378646278, 1.4227496520277587, 1.4670273092565673, 1.3362368837615985, 1.3456332039177425, 1.3513714622911548]",
3,0.0,"[40.82098455 41.64227088 42.4557225  43.36813118 45.97062329 45.29909599
 45.14078942 43.60051908]",0.699999988079071,4.070346884066244e-08,8.0,"[8.23272435 8.22890958 8.5539408  8.38542771 6.97788929 6.45644527
 7.1428154  6.59620194]","[1.0582715331106511, 1.15832473362233, 1.3322608063437216, 1.3726969324825424, 1.0878482173413615, 1.3163238583886159, 1.3892910058286352, 1.2881051280307818]",
4,0.0,"[41.33439281 42.1761933  43.14537021 43.51525524 45.85621833 45.23731893
 45.01023461 43.50044987]",0.699999988079071,1.3483332745157728,8.0,"[8.13562003 8.47543527 8.45923462 7.63415978 6.21604455 5.67688038
 6.31104961 5.84731864]","[1.0826950135960738, 1.2450603141020395, 1.3168329745193281, 1.366089521160282, 1.2730816078081044, 1.30021894879759, 1.3783268994723574, 1.2320869576983182]",[False False False False False False False False]
5,0.0,"[39.97504436 40.99005323 41.58602173 41.57962261 43.92777741 43.32872863
 43.04805385 41.58694538]",0.699999988079071,4.2862145340940785,8.0,"[8.32978235 8.53286153 7.8446962  6.78463265 5.44566346 4.90062417
 5.50064259 5.17129632]","[0.9114844473547842, 1.241821985976241, 1.229665762383962, 1.4387244461794264, 1.2806916240020003, 1.2913864680264935, 1.3394484009226868, 1.2285513955401552]",[False False False False False False False False]
6,0.0,"[37.77441678 38.64842916 38.64267135 38.66270326 41.00688952 40.42167099
 40.08418389 38.66330487]",0.699999988079071,5.3381123865515105,8.0,"[8.55275924 8.12515885 7.06811814 5.91658566 4.6347994  4.10089227
 4.69465681 4.41620828]","[1.225219793449874, 1.1468437875116801, 1.3148586281825292, 1.45284085839598, 1.3568571942873782, 1.2897546210897954, 1.3531439686167939, 1.1046162213686317]",[False False False False False False False False]
7,0.0,"[35.00928772 35.20181345 35.2012529  35.21088732 37.533751   36.96530764
 36.57789352 35.21117509]",0.699999988079071,6.132803443898918,8.0,"[8.39453392 7.41855565 6.25043648 5.04653147 3.84102557 3.35326214
 3.89271682 3.68245285]","[1.138861186499338, 1.15959271058702, 1.3866158605126586, 1.44971592520994, 1.3187028640196998, 1.2903568077645542, 1.3319873931917867, 1.195316584959853]",[False False False False False False False False]
8,0.0,"[31.32968836 31.31385732 31.30976651 31.32084466 33.64561069 33.07242598
 32.65099426 31.33635822]",0.699999988079071,6.781575128488492,8.0,"[7.77598806 6.72509305 5.4680666  4.19875838 3.04980271 2.57881645
 3.09613871 2.97790099]","[1.092274019025112, 1.1504212810231502, 1.244890912923277, 1.3631329371791319, 1.3193355167863277, 1.2917348067975496, 1.3286950646072446, 1.1095854200172643]",[False False False False False False False False]
9,0.0,"[27.09145414 27.08000316 27.06611598 27.07879524 29.3937488  28.82092141
 28.36575319 27.08566724]",0.0,7.3142638026143985,8.0,"[7.11653491 6.02169056 4.72163126 3.38643201 2.25836377 1.8036251
 2.30184325 2.25784509]","[1.0943779171264225, 1.2033202648162842, 1.2441315462303164, 1.309020826359543, 1.3199671374053217, 1.2930921443128427, 1.32536969527638, 1.1832517341687945]",[False False False False False False False  True]
